,Window,Error,Variance
0,1,213.0555644412557,6147.279125432984
1,2,470.98836401388945,7174.897278701808
2,3,891.7788729035507,7283.5058276016025
3,4,1562.0249135637782,7477.564092876122
4,5,2072.5657352951625,8284.863249964023
5,6,2568.655255415882,9366.285035061937
6,7,2503.593206938728,10194.719796575366
7,8,2850.8679065470037,11382.607926010098
8,9,2889.86206501869,11676.860118345847
9,10,2786.8737471094346,11505.854826383968
10,11,2776.7581181209866,11393.16444441349
11,12,3103.5016197442237,12480.126771646665
12,13,3234.2483497125854,12361.210346892
13,14,3429.069511546405,12630.085761141765
14,15,3591.85858344708,13017.814237796898
15,16,3953.679798669262,13785.669767548576
16,17,3735.2718329989693,13692.589671409916
17,18,3606.31343742781,14195.136501916382
18,19,3664.273072574607,14126.762835290581
19,20,3478.632369008743,13911.16204014451
20,21,3573.197820941133,14850.191901930124
21,22,3860.4850440421505,14816.613902504405
22,23,4009.9495480179885,15756.620543158468
23,24,4087.335312836034,15990.766090535239
24,25,3992.8856021032957,16166.717714685614
25,26,3816.1068399649184,16076.617930051993
26,27,3802.4305993425505,16263.817372144738
27,28,3879.692311354287,16369.04500172401
28,29,3835.270743901866,16569.850604890733
29,30,3930.7502589740648,16111.79161424445
