PF params: {'number_of_particles': 100, 'resample_window': 100, 'multi_step': True, 'agents_to_visualise': 2, 'particle_std': 1.0, 'model_std': 1.0, 'do_save': True, 'plot_save': False, 'do_ani': False}
Model params: {'width': 200, 'height': 100, 'pop_total': 100, 'entrances': 3, 'entrance_space': 2, 'entrance_speed': 0.1, 'exits': 2, 'exit_space': 1, 'speed_min': 0.1, 'speed_desire_mean': 1, 'speed_desire_std': 1, 'separation': 2, 'batch_iterations': 4000, 'do_save': False, 'do_ani': False}
Min_Mean_errors,Max_Mean_errors,Average_mean_errors,Min_variances,Max_variances,Average_variances
4.684988639917582,232.48627556822146,86.68916672823956,3.330636276620113,185.54161229192135,53.96620404657244
20.244841892820794,210.30414478906553,79.05199121105377,13.459884069820692,223.8013359081976,58.71680215996921
5.344044278611651,311.36497267696103,138.1235644314662,4.0117855667261555,214.68198303549866,87.00869390133302
2.1258872465429555,189.94675909658653,73.12933320968654,2.767865855092654,197.8831673213128,72.5326423998777
1.8966884093216794,180.69461687790374,76.90220234062757,4.553600812377101,204.52955617334283,62.84186830152266
0.18637554241514379,182.7854624611298,52.147841792974845,3.071496972217805,212.5177360236244,50.386261500098655
1.5127538154003632,210.0617502939559,103.32969734591724,1.6348854834873703,221.64863054390366,56.69607880997867
3.233033577517352,180.1498689868603,73.74224316287217,3.39478155761082,205.14968502642012,69.48440046452573
3.034907631322023,195.53188747880733,85.35773958014455,2.7258418810029355,204.25181648425476,61.60858499912819
4.754522210670215,225.70292467912782,80.6045419712109,2.7466299987014167,193.11632403694057,52.17928875017096
1.2258120542581912,157.00924113846702,45.9389934408866,1.4241934734987305,204.18762476213166,47.760900273433215
5.036699778435227,242.98068251260054,109.18944853129766,4.150230400270353,211.0028792777466,81.15931291999709
8.750070545272601,151.0799257800679,62.82837420680753,3.270870921268718,186.89586550547136,47.03950521384873
5.417727164463434,200.9382819892477,83.61617250857896,2.6692263309341557,218.8170637245237,63.118725840341675
0.8918488237554847,245.05931714277767,100.52326291164836,1.3164450556900524,236.8877549441525,78.75369945033322
14.23051412266924,282.5589626806712,108.33283971052958,11.894757158472522,270.74359960158563,80.44015992490499
1.8476453048168768,223.56509116434432,62.05561583713802,1.3145880919043949,229.53161803601446,56.898782721124306
17.87410665102735,216.8604954605607,68.65788529904286,10.58241246596443,215.62937037371415,59.715713577931034
2.4685197583394056,201.42632014408508,68.29061041784652,2.2167782934321942,199.54855904887322,62.205308316806146
19.347641864501455,204.44552788325078,69.24069726694256,12.490963764520783,206.4432510097277,56.02690954711976
